indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2023,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2022,7.068,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2021,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2020,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2019,12.622,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2018,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2017,13.489,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2016,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2015,8.227,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2014,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2013,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2012,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2011,6.952,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2010,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2009,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2008,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2007,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2006,11.678,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2005,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2004,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2003,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2002,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2001,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2000,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1999,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1998,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1997,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1996,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1995,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1994,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1993,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1992,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1991,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1990,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1989,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1988,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1987,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1986,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1985,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1984,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1983,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1982,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1981,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1980,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1979,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1978,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1977,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1976,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1975,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1974,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1973,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1972,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1971,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1970,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1969,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1968,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1967,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1966,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1965,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1964,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1963,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1962,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1961,,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,1960,,,,0
