indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2023,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2022,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2021,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2020,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2019,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2018,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2017,77.17135,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2016,81.64483,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2015,91.09807,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2014,111.34646,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2013,98.98592,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2012,89.39615,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2011,71.72394,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2010,78.65386,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2009,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2008,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2007,137.07093,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2006,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2005,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2004,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2003,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2002,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2001,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2000,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1999,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1998,280.73061,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1997,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1996,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1995,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1994,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1993,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1992,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1991,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1990,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1989,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1988,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1987,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1986,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1985,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1984,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1983,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1982,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1981,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1980,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1979,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1978,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1977,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1976,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1975,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1974,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1973,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1972,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1971,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1970,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1969,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1968,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1967,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1966,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1965,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1964,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1963,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1962,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1961,,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1960,,,,1
