FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f78,Plateaux,Kloto,Kloto 3,Kouma,DUNYO,Centre Rurale d'Activité Sociaux Éducatif,Neant,"{Jeudi,Mardi,Mercredi,Vendredi,lundi}",1976,,,,,,POINT (0.5934314761286296 6.981183485251623)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f79,Plateaux,Ogou,Ogou 1,Gnagna,Lomnava,Complexe Technique Excellence (CTE),"Complexe Technique Excellence, Gnagna","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1280671568539027 7.520031982585708)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f7a,Savanes,Tône,Tône 1,Dapaong,N/a,Centre des Métiers de Dapaong Bonita Haus,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (0.201008 10.87326)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f7b,Plateaux,Amou,Amou 2,Sodo,Sodo,Centre de Formation Technique et Professionnelle de Sodo,BP 06 Kpele Ele,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Nsp,Nsp,Non,POINT (0.8235615191080674 7.310607262237098)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f7c,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedogan,Centre d'Enseignement Technique et Information les Talents,05 BP860 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.20187477985314 6.195758085687791)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f7d,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Ecole de Coupe de Couture et de Perfectionnement Style Tahiti,"Ecole de Coupe de Couture et de Perfectionnement Style Tahiti,","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Nsp,POINT (1.2827233333333325 6.169571666666668)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f7e,Maritime,Golfe,Golfe 3,Bè-Ouest,N/a,Centre d'Entrainement des Jeunes à l'initiative Privée (CEJIP),Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.228436121591839 6.157707218570282)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f7f,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Léo 200,Ecole de Coupe de Couture et de Perfectionnement Style Tahiti,"Immeuble en face du lycée le Jourdain pas loin de Limousine, 90183990","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - individuel,{Construit et Utilise},Formation profesionnelle autre,N/a,Non,POINT (1.182498494593492 6.205760088438976)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f80,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,N/a,Centre d'Information et d'Orientation Professionnelle d'Agoe (CIFOP-Itas),"Cifop Itas, Agoe Nyve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Nsp,Nsp,Nsp,Nsp,Nsp,POINT (1.2039446080806466 6.232256442763505)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f81,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),N/a,Institut Polytechnique la Source de Savoir,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.1375360232989327 8.98354469212119)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f82,Maritime,Golfe,Golfe 3,Bè-Ouest,TOKOIN TAME,Centre de Formation aux Métiers de l'Industrie (CFMI),Nsp,"{Lundi,Mercredi,Mardi,jeudi,Vendredi}",2015,Domaine prive de l'Etat ou des collectivites territoriales,{Construit et Utilise},Licence,N/a,Non,POINT (1.22334688291354 6.167924848213879)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f83,Maritime,Golfe,Golfe 3,Bè-Ouest,N/a,Centre de Formation Bancaire du Togo (CFBT),Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.22352 6.167708)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f84,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adidoadin,Centre de Formation Professionnelle Dtech Group,"Cfp Dtech Group, Agoe Nyive",Nsp,Nsp,Nsp,{Construit et Utilise},CAP,Nsp,Nsp,POINT (1.1867997800610846 6.20958396259766)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f85,Maritime,Golfe,Golfe 3,Bè-Ouest,Universite De Lome,Campus Sud Enfs Universite de Lomé,"Campus Sud, Bé","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1966,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.2130116537404618 6.171082786885522)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f86,Plateaux,Haho,Haho 1,Notsé,N/a,Centre de Formation Professionnelle et Prestation de de Services (CFPPS) KING's TECH,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.1621666666666668 6.946574999999987)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f87,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin,Institut Bebella,14 BP 13,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.2242156216295899 6.15317918143724)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f88,Plateaux,Haho,Haho 1,Notsé,Dossa,Centre de Formation Technique et Professionnelle de Notse,"Cftp Notse, Notse","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2015,Domaine prive de l'etat ou des collectivites territoriales,"{Construit et Utilise,En construction}",CAP,{WCs},Non,POINT (1.1701289223571587 6.947851003713211)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f89,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kligue Kondji,Centre Agerto,BP 633 Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,Domaine prive de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau,Douches}",Non,POINT (0.6234935076747045 6.904184811591529)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f8a,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassokpe,Centre Catholique de Formation Technique et Professionnelle Madre Agatha Carelli,"Ccftp Madre Agata Carelli Lycee, Agoe 2","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.164600139208641 6.2596303653102785)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f8b,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Gbonve,Centre de Formation Professionnelle le Record,"Carrefour Total Minamadou, Agoe Assiyeye, Lomé","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2021,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1932216666666675 6.224711666666667)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f8c,Maritime,Golfe,Golfe 1,Bè-Est,Ablogame,Centre de Formation Professionnelle Marie Dominique Mazzarello,06 BP 61184,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,POINT (1.2617577186637805 6.137721296984019)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f8d,Savanes,Kpendjal,Kpendjal 2,Borgou,Yanyane,Centre de Formation Technique et Professionnelle de Borgou,"Centre de Formation Technique et Professionnelle de Borgou, Borgou","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2020,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Douches},Non,POINT (0.5904129325324127 10.79833535717918)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7f8e,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Kpalbiak,Centre de Formation Technique et Professionnelle de Cinkanse,"Centre de Formation Technique et Professionnelle, Cinkansse","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,Nsp,Non,POINT (0.0375028338546724 11.091900622500976)
