No.,Nom du champ,Question,Description,Type du champ
1,region_nom_bdd,,xsd:string,string
2,prefecture_nom_bdd,,xsd:string,string
3,commune_nom_bdd,,xsd:string,string
4,canton_nom_bdd,,xsd:string,string
5,id,,xsd:int,int
6,canton_id_bdd,ID du canton,xsd:string,string
7,nom_localite,,xsd:string,string
8,etab_id_collecte,ID textuel de l'établissement,xsd:string,string
9,etab_nom,,xsd:string,string
10,etab_adresse,,xsd:string,string
11,etab_jour,,xsd:string,string
12,etab_heure,,xsd:string,string
13,etab_creation_date,,xsd:string,string
14,etab_prog,,xsd:string,string
15,etab_prog_nom,,xsd:string,string
16,org_prog_acteur,,xsd:string,string
17,interlocuteur_presence,,xsd:string,string
18,interlocuteur_responsable,,xsd:string,string
19,interlocuteur_fonction,,xsd:string,string
20,interlocuteur_nom_prenom,,xsd:string,string
21,interlocuteur_genre,,xsd:string,string
22,interlocuteur_tel,,xsd:string,string
23,responsable_nom_prenom,,xsd:string,string
24,responsable_genre,,xsd:string,string
25,responsable_fonction,,xsd:string,string
26,responsable_tel,,xsd:string,string
27,responsable_mail,,xsd:string,string
28,responsable_annee,,xsd:string,string
29,etab_complex,,xsd:string,string
30,etab_complex_spec,,xsd:string,string
31,etab_complex_spec_autre,,xsd:string,string
32,etab_groupe,,xsd:string,string
33,etab_groupe_spec,,xsd:string,string
34,etab_groupe_spec_autre,,xsd:string,string
35,responsable_varie,,xsd:string,string
36,terrain,,xsd:string,string
37,terrain_autre,,xsd:string,string
38,terrain_prive,,xsd:string,string
39,terrain_conflit,,xsd:string,string
40,activite_statut,,xsd:string,string
41,activite_statut_autre,,xsd:string,string
42,etablissement_categorie,,xsd:string,string
43,etablissement_categorie_autre,,xsd:string,string
44,etablissement_categorie_detail,,xsd:string,string
45,etablissement_domaines,,xsd:string,string
46,formation_nombre,,xsd:int,int
47,formation_duree,,xsd:string,string
48,diplome,,xsd:string,string
49,diplome_reconnu,,xsd:string,string
50,formation_prix,,xsd:string,string
51,objects,,xsd:string,string
52,classe_nbr,,xsd:string,string
53,jumelage,,xsd:string,string
54,jumelage_spec,,xsd:string,string
55,etablissement_langue,,xsd:string,string
56,langue_locale,,xsd:string,string
57,langue_locale_spec,,xsd:string,string
58,langue_locale_spec_autre,,xsd:string,string
59,org_nom,,xsd:string,string
60,ordre,,xsd:string,string
61,ordre_autre,,xsd:string,string
62,org_reconnu,,xsd:string,string
63,secteur_prive_agrement,,xsd:string,string
64,org_ministere_tutelle,,xsd:string,string
65,org_numero_prive,,xsd:string,string
66,org_fodes,,xsd:string,string
67,org_fodes_num,,xsd:string,string
68,org_numero_autre,,xsd:string,string
69,org_type2,,xsd:string,string
70,org_type2_autre,,xsd:string,string
71,org_type2_international,,xsd:string,string
72,org_qg,,xsd:string,string
73,org_religion,,xsd:string,string
74,org_religion_type,,xsd:string,string
75,org_religion_autre,,xsd:string,string
76,org_religion_tutelle,,xsd:string,string
77,finance_sub,,xsd:string,string
78,finance_sub_detail,,xsd:string,string
79,finance_sub_type,,xsd:string,string
80,finance_sub_montant,,xsd:string,string
81,finance_sub_source,,xsd:string,string
82,finance_sub_frequence,,xsd:string,string
83,finance_sub_nom,,xsd:string,string
84,finance_sub_annee,,xsd:string,string
85,finance_ext,,xsd:string,string
86,finance_ext_detail,,xsd:string,string
87,finance_ext_type,,xsd:string,string
88,finance_ext_montant,,xsd:string,string
89,finance_ext_source,,xsd:string,string
90,finance_ext_frequence,,xsd:string,string
91,finance_ext_nom,,xsd:string,string
92,finance_ext_annee,,xsd:string,string
93,personnel_nbr,,xsd:int,int
94,personnel_femme_nbr,,xsd:int,int
95,personnel_homme_nbr,,xsd:int,int
96,enseignants_total,,xsd:int,int
