indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"School enrollment, tertiary (% gross)",Togo,TGO,2023,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2022,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2021,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2020,15.0659399032593,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2019,13.3234195709229,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2018,13.0981397628784,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2017,12.5233001708984,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2016,12.3244800567627,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2015,11.0391302108765,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2014,10.7719402313232,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2013,11.0933198928833,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2012,10.9630603790283,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2011,9.90192985534668,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2010,9.12454032897949,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2009,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2008,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2007,5.70411014556885,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2006,5.08456993103027,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2005,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2004,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2003,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2002,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2001,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,2000,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1999,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1998,3.19122004508972,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1997,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1996,2.80788993835449,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1995,2.82730007171631,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1994,2.49405002593994,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1993,2.30610990524292,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1992,2.73692011833191,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1991,2.48679995536804,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1990,2.2464599609375,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1989,2.21579003334045,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1988,2.1810998916626,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1987,1.98108005523682,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1986,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1985,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1984,1.50121998786926,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1983,1.48483002185822,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1982,1.64546000957489,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1981,1.87659001350403,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1980,1.47959005832672,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1979,1.31892001628876,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1978,1.34249997138977,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1977,1.20678997039795,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1976,1.04297995567322,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1975,0.73199999332428,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1974,0.678820013999939,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1973,0.694530010223389,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1972,0.682910025119781,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1971,0.440560013055801,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1970,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1969,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1968,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1967,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1966,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1965,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1964,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1963,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1962,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1961,,,,0
"School enrollment, tertiary (% gross)",Togo,TGO,1960,,,,0
