"indicateur","libellés","Unit","Date","Value"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR VOTÉ","Nombre","2013","22112.1"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR VOTÉ","Nombre","2014","23856"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR VOTÉ","Nombre","2015","22406.2"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR VOTÉ","Nombre","2016","22649.5"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR VOTÉ","Nombre","2017","25967.2"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR VOTÉ","Nombre","2018","38134.6"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR EXÉCUTÉ","Nombre","2013","20388.5"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR EXÉCUTÉ","Nombre","2014","22421.1"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR EXÉCUTÉ","Nombre","2015","20686.8"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR EXÉCUTÉ","Nombre","2016","22418.6"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR EXÉCUTÉ","Nombre","2017","24875.2"
"Budget de l’enseignement supérieur et budget national votés et exécutés","BUDGET DE L'ENSEIGNEMENT SUPÉRIEUR EXÉCUTÉ","Nombre","2018","32171.9"
"Budget de l’enseignement supérieur et budget national votés et exécutés","SUBVENTION DE L'ETAT ALLOUÉE AUX ÉTABLISSEMENTS PRIVÉS D'ENSEIGNEMENT SUPÉRIEUR","Nombre","2013","0"
"Budget de l’enseignement supérieur et budget national votés et exécutés","SUBVENTION DE L'ETAT ALLOUÉE AUX ÉTABLISSEMENTS PRIVÉS D'ENSEIGNEMENT SUPÉRIEUR","Nombre","2014","0"
"Budget de l’enseignement supérieur et budget national votés et exécutés","SUBVENTION DE L'ETAT ALLOUÉE AUX ÉTABLISSEMENTS PRIVÉS D'ENSEIGNEMENT SUPÉRIEUR","Nombre","2015","0"
"Budget de l’enseignement supérieur et budget national votés et exécutés","SUBVENTION DE L'ETAT ALLOUÉE AUX ÉTABLISSEMENTS PRIVÉS D'ENSEIGNEMENT SUPÉRIEUR","Nombre","2016","0"
"Budget de l’enseignement supérieur et budget national votés et exécutés","SUBVENTION DE L'ETAT ALLOUÉE AUX ÉTABLISSEMENTS PRIVÉS D'ENSEIGNEMENT SUPÉRIEUR","Nombre","2017","0"
