"indicateur","Unit","Date","Value"
"Dépenses annuelles par étudiants","FCFA","2015","363725.14"
"Dépenses annuelles par étudiants","FCFA","2016","350571.1"
"Dépenses annuelles par étudiants","FCFA","2019","354110"
"Part du Budget alloué à l'enseignement (%)","%","2016","4.6"
"Part du Budget alloué à l'enseignement (%)","%","2017","4.9"
"Part du Budget alloué à l'enseignement (%)","%","2018","4.92"
"Part du Budget alloué à l'enseignement (%)","%","2019","4.03"
"Evolution des effectifs des étudiants inscrits","Nombre","2014","72129"
"Evolution des effectifs des étudiants inscrits","Nombre","2015","75045"
"Evolution des effectifs des étudiants inscrits","Nombre","2016","85463"
"Evolution des effectifs des étudiants inscrits","Nombre","2017","88605"
"Evolution des effectifs des étudiants inscrits","Nombre","2019","99820"
"Proportion de femmes","%","2014","41.7"
"Proportion de femmes","%","2015","42.6"
"Proportion de femmes","%","2016","44.6"
"Proportion de femmes","%","2017","45.7"
"Proportion du Budget de l’enseignement supérieur dans le Budget National et par rapport au PIB","%","2015","0.87"
"Proportion du Budget de l’enseignement supérieur dans le Budget National et par rapport au PIB","%","2016","0.9"
"Proportion du Budget de l’enseignement supérieur dans le Budget National et par rapport au PIB","%","2017","0.9"
"Proportion du Budget de l’enseignement supérieur dans le Budget National et par rapport au PIB","%","2018","1.09"
"Proportion du Budget de l’enseignement supérieur dans le Budget National et par rapport au PIB","%","2019","0.86"
"Nombre d'étudiant  pour 100000 hbts","Nombre","2014","1081.4"
"Nombre d'étudiant  pour 100000 hbts","Nombre","2015","1084.3"
"Nombre d'étudiant  pour 100000 hbts","Nombre","2016","1183.4"
"Nombre d'étudiant  pour 100000 hbts","Nombre","2017","1194.9"
"Nombre d'étudiant  pour 100000 hbts","Nombre","2018","1290"
"Nombre d'étudiant  pour 100000 hbts","Nombre","2019","1326"
"Nombre d'étudiant des universités publiques pour 100000 hbts","Nombre","2014","815.4"
"Nombre d'étudiant des universités publiques pour 100000 hbts","Nombre","2015","807.9"
"Nombre d'étudiant des universités publiques pour 100000 hbts","Nombre","2016","883.5"
"Nombre d'étudiant des universités publiques pour 100000 hbts","Nombre","2017","918"
"Nombre d'étudiant des universités publiques pour 100000 hbts","Nombre","2018","1007"
"Nombre d'étudiant des universités publiques pour 100000 hbts","Nombre","2019","1015"
"ratio étudiant/ enseignants dans les universités publiques","","2016","128"
"ratio étudiant/ enseignants dans les universités publiques","","2017","101"
"ratio étudiant/ enseignants dans les universités publiques","","2019","91"
"Taux d’inscription immédiat des nouveaux bacheliers dans les UPT","","2016","39"
"Taux d’inscription immédiat des nouveaux bacheliers dans les UPT","","2017","55.9"
"Taux d’inscription immédiat des nouveaux bacheliers dans les UPT","","2019","58.24"
"Rapport de féminité des étudiants","%","2015","42.6"
"Rapport de féminité des étudiants","%","2016","44.6"
"Rapport de féminité des étudiants","%","2017","45.7"
"Rapport de féminité des étudiants","%","2018","49.1"
"Rapport de féminité des étudiants","%","2019","51.5"
"%d’étudiants dans les filières scientifiques et technologiques","%","2015","18.1"
"%d’étudiants dans les filières scientifiques et technologiques","%","2016","18.2"
"%d’étudiants dans les filières scientifiques et technologiques","%","2017","19.4"
"%d’étudiants dans les filières scientifiques et technologiques","%","2018","23.2"
"%d’étudiants dans les filières scientifiques et technologiques","%","2019","23.62"
"%de filles dans les filières scientifiques et technologiques","%","2018","14.7"
"%de filles dans les filières scientifiques et technologiques","%","2019","15.6"
