"indicateur","villes","type","statut","Unit","Date","Value"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","DAPAONG","Université","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","DAPAONG","Université","Prive","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","DAPAONG","Etablissement","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","DAPAONG","Etablissement","Prive","Nombre","2018","2"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","DAPAONG","Total","Public","Nombre","2018","2"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","DAPAONG","Total","Prive","Nombre","2018","2"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KARA","Université","Public","Nombre","2018","1"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KARA","Université","Prive","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KARA","Etablissement","Public","Nombre","2018","1"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KARA","Etablissement","Prive","Nombre","2018","5"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KARA","Total","Public","Nombre","2018","7"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KARA","Total","Prive","Nombre","2018","8"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","SOKODÉ","Université","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","SOKODÉ","Université","Prive","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","SOKODÉ","Etablissement","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","SOKODÉ","Etablissement","Prive","Nombre","2018","3"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","SOKODÉ","Total","Public","Nombre","2018","3"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","SOKODÉ","Total","Prive","Nombre","2018","3"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","ATAKPAMÉ","Université","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","ATAKPAMÉ","Université","Prive","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","ATAKPAMÉ","Etablissement","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","ATAKPAMÉ","Etablissement","Prive","Nombre","2018","2"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","ATAKPAMÉ","Total","Public","Nombre","2018","3"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","ATAKPAMÉ","Total","Prive","Nombre","2018","3"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KPALIMÉ","Université","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KPALIMÉ","Université","Prive","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KPALIMÉ","Etablissement","Public","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KPALIMÉ","Etablissement","Prive","Nombre","2018","0"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KPALIMÉ","Total","Public","Nombre","2018","1"
"Répartition des établissements d’enseignement supérieur ayant fonctionné  par type, statut et localisation géographique","KPALIMÉ","Total","Prive","Nombre","2018","1"
